sample,donor,type,category_value,pH,osmolality,Enterococcaceae,Leuconostocaceae,Bifidobacteriaceae,Veillonellaceae,Lactobacillaceae,Lachnospiraceae,Peptostreptococcales-Tissierellales,Enterobacteriaceae,Coriobacteriaceae,Prevotellaceae,Bacteroidaceae,Ruminococcaceae,Clostridiaceae,Sutterellaceae,Bacillaceae,Eggerthellaceae,Tannerellaceae,Streptococcaceae,Oscillospiraceae,Rikenellaceae,Erysipelatoclostridiaceae,Leptospirillaceae,Anaerofustaceae,Akkermansiaceae,other
2.1,TL1,pH,5.5,5.5,NaN,0,0,0.70247006,0.004865269,0.155688623,0.023502994,0,0,0.014820359,0.070808383,0.000973054,0.016691617,0,0,0,0.00254491,0.000224551,0.002320359,0.000973054,0.000598802,0,0,0,0.001197605,0.002320359
2.2,TL2,pH,5.5,5.5,NaN,0,0,0.483160899,0.005066001,0.376489476,0.025615412,0,0.000285408,0.008383874,0.002640029,0.024224046,0.031394934,0.000535141,0.020442383,0,0.000784873,0.001320014,0.00371031,0.002925437,0.000606493,0,0,0,0.010096325,0.002318944
TLR3-pH5-5,TL3,pH,5.5,5.5,NaN,0.00265727,0,0.672289296,0.073941425,0,0.020391658,0,0,0.19444284,0.000750968,0.001964069,0.003350471,0,0,0,0.025417365,0.0001733,0.003119404,0,0,0,0.0001733,0,0,0.001328635
TLR4-pH5-5,TL4,pH,5.5,5.5,NaN,0.003742177,0,0.784373185,0,0.112458868,0.014710626,0,0,0.074133815,0,0.003161494,0.002064649,0,0.000193561,0.001096845,0,0,6.45203E-05,0.000322601,0.000387122,0.001419446,0,0,0.000322601,0.001548487
TLR5-pH5-5,TL5,pH,5.5,5.5,NaN,0.30576654,0,0.671197282,0.00029982,0,0.008594843,0,0.00044973,0.00074955,0,0.00109934,0.003697781,0.00029982,0,0,0,0.00059964,0.00019988,0.00044973,0.00109934,0,0,0,0.00054967,0.004947032
TLR7-pH5-5,TL7,pH,5.5,5.5,NaN,0.026799963,0.812051729,0.103824635,0.025185729,0,0.010639274,0,3.66872E-05,0.00025681,0,0.00179767,0.008419701,0.000165092,0.005099514,0,0,0.000128405,0.00025681,0.000495277,0.000275154,7.33743E-05,0,0,0,0.004494176
3.1,TL1,pH,6.9,6.9,NaN,0.001262387,0,0.268383513,0.057249258,0,0.339960866,0,0.02366976,0.154137474,0.011298365,0.019756359,0.036798586,0.003724042,0.035978034,0,0.012182036,0.008016159,0.009972859,0.010540933,0.004670833,0,0,0,0,0.002398536
3.2,TL2,pH,6.9,6.9,NaN,0.072644975,0,0.113864876,0.221570883,0,0.258078878,0,0.127332764,0.094015508,0,0.073535413,0.00296813,0,0.002374504,0,0.004192483,0.014284124,0,0.005602345,0.004600601,0.001261455,0,0.002485809,7.42032E-05,0.001113049
TLR3-pH6-9,TL3,pH,6.9,6.9,NaN,0.553841125,0.001634521,0.004903563,0.013860739,0,0.110624387,0.10539392,0.055573717,0.002680615,0,0.081595293,0.000980713,0,0.006930369,0,0.000457666,0.017325924,0.001699902,0.01941811,0.003988231,0.017391304,0.000130762,0.000523047,0,0.001046093
TLR4-pH6-9,TL4,pH,6.9,6.9,NaN,0.355147924,0,0.020173413,0.022787678,0,0.198684153,0.055553135,0.086183609,0.011110627,0,0.127401856,0.002744978,0.040085399,0.011154198,0,0,0.020914121,0.002962834,0.018169143,0.009411355,0.013942748,0,0,0,0.003572829
