SampleID,Mouse,Intestinal.Site,Diet,Erysipelotrichaceae,Lachnospiraceae,Enterococcaceae,Akkermansiaceae,Muribaculaceae,Lactobacillaceae,Coriobacteriaceae,Bacteroidaceae,Peptostreptococcaceae,Ruminococcaceae,Enterobacteriaceae,Sutterellaceae,Streptococcaceae,Eggerthellaceae,Christensenellaceae,Bifidobacteriaceae,Clostridiaceae,Tannerellaceae,Leuconostocaceae,Atopobiaceae,Prevotellaceae,Monoglobaceae,Oscillospiraceae,Butyricicoccaceae,uncultured Rhodospirillales,Barnesiellaceae,Erysipelatoclostridiaceae
M1.Cecum,M1,Cecum,Control,0.056898382,0.495909063,0,0.069421023,0.062863032,0.015645494,0.000156143,0.085160202,0.011304728,0.086659172,0,0.012834926,0,0.003497595,0.028948848,0,0.003091625,0.019299232,0.003684967,0.002310911,0,0.010086815,0.011148585,0.00468428,0.002935482,0.002435825,0.000780713
M1.Colon,M1,Colon,Control,0.048309958,0.51238648,0,0.085872427,0.048739857,0.017142243,0.000376162,0.068998872,0.00902789,0.10091891,0,0.010048901,0,0.003170509,0.034391961,0,0.003761621,0.012682036,0.002579397,0.00252566,0,0.011607287,0.010102639,0.004084045,0.001612123,0.001988285,0.000161212
M1.Duodenum,M1,Duodenum,Control,0.101431981,0.124627088,0.000372912,0.130444511,0.251044153,0.282070406,0,0.002013723,0.007756563,0.030355012,0.000894988,0.026103819,0,0.003654535,0.000298329,0,0.000447494,0.001789976,0.023940931,0.003356205,0,0.005892005,0.001566229,0,0,0,0.000522076
M1.Ileum,M1,Ileum,Control,0.29789319,0.214208721,0.000489956,0.10867222,0.140029397,0.069083782,0,0.011856933,0.072415483,0.020872122,0,0.012052915,0,0.004017638,0.0033317,0,0.000489956,0.006957374,0.008721215,0.006761391,0,0.011170995,0.004409603,0.000881921,0.00166585,0,0.000489956
M1.Jejunum,M1,Jejunum,Control,0.000799616,0.359080974,0.041739965,0.347513194,0.100751639,0,0.050055973,0.00708993,0,0.000266539,0.014019937,0.005810544,0.01300709,0.030012261,0,0.010608241,0.002505464,0.002772003,0,0.009968548,0,0,0,0.000319846,0,0.000213231,0.002931926
M2.Cecum,M2,Cecum,Control,0.082987552,0.492359073,0.000253011,0.101659751,0.093259792,0.003491549,0,0.093765813,0.004301184,0.031929967,0.000303613,0.014573424,0,0.004655399,0.0116891,0,0.001922882,0.027780589,0,0.004048173,0,0.005110819,0.008703573,0.003289141,0.002428904,0.00303613,0.000860237
M2.Colon,M2,Colon,Control,0.096990944,0.455302366,0,0.147531405,0.061933976,0.010224949,0,0.081215308,0.004382121,0.06061934,0.000584283,0.010078878,0,0.001606778,0.007887818,0,0.003067485,0.025416301,0,0.002337131,0,0.005550687,0.008764242,0.003359626,0.003651767,0.003359626,0
M2.Duodenum,M2,Duodenum,Control,0.294871795,0.102564103,0,0.192307692,0.205128205,0.102564103,0,0,0,0,0,0.076923077,0,0.025641026,0,0,0,0,0,0,0,0,0,0,0,0,0
M2.Ileum,M2,Ileum,Control,0.483470767,0.164400862,0.001857217,0.108090038,0.16618379,0.014560582,0,0.006834559,0.017086398,0.004308744,0.000965753,0.010920437,0,0.003640146,0.000742887,0,0.000222866,0.001634351,0,0.006908848,0.000148577,0.006017384,0.000742887,0,0.000371443,0,0.000371443
M2.Jejunum,M2,Jejunum,Control,0.15225425,0.33967726,0.001662971,0.194875585,0.176952451,0.046008869,0,0.001970929,0.001416605,0.01213353,0.000123183,0.028393693,0,0.005543237,0.001847746,0,0.000307958,0.004372998,0,0.019586105,0,0.009854644,0.001231831,0,0,0.000123183,0.000677507
